SubjectID,CRT_Score,True statement,TrueStatementID,IQE1,IQE2,IQE3,IQI1,IQI2,IQI3,IQU1,IQU2,IQU3,IQE_avg,IQI_avg,IQU_avg,False Difficult,False Easy,True_fleshes,difficult_fleshes,easy_fleshes,True_smog_index,difficult_smog_index,easy_smog_index,True_flesch_kincaid_grade,difficult_flesch_kincaid_grade,easy_flesch_kincaid_grade,True_coleman_liau_index,difficult_coleman_liau_index,easy_coleman_liau_index,True_automated_readability_index,difficult_automated_readability_index,easy_automated_readability_index,True_dale_chall_readability_score,difficult_dale_chall_readability_score,easy_dale_chall_readability_score,True_difficult_words,difficult_difficult_words,easy_difficult_words,True_linsear_write_formula,difficult_linsear_write_formula,easy_.linsear_write_formula,True_difficult_words,difficult_difficult_words,easy_difficult_words,True_gunning_fog,difficult_gunning_fog,easy_gunning_fog,True_text_standard,difficult_text_standard,easy_text_standard,Potential_Drop
R_1jJ8QGY6pz420R7,0.666666667,Intravenous recombinant ACE2 was reported as an effective therapy in severe COVID-19 by blocking the viral entry to target cells. ,1005,4,2,2,2,1,2,1,2,1,2.666666667,1.666666667,1.333333333,Intravenous recombiNo Statement herent ACE2 was reported as an ineffective therapy in severe COVID-19 by blocking the viral entry to target cells.,Intravenous recombinant ACE2 was reported as an effective therapy in severe COVID-19 by blocking the virus completely.,34.26,23.77,28.84,0,0,0,13.5,15.4,13.5,14.04,15.14,16.53,14.5,16.3,15.3,15.68,16.21,15.63,10,12,8,15,16,14.5,10,12,8,18,17.89,20.92,15,16,15,
R_1jJ8QGY6pz420R7,0.666666667,A 5-day course of ivermectin was found to be safe and effective in treating adult patients with mild COVID-19.,1006,5,5,4,4,2,4,4,4,4,4.666666667,3.333333333,4,A 5-day course of ivermectin was found to be safe and effective in treating child patients with mild COVID-19.,A 5-month course of ivermectin was found to be safe and effective in treating adult patients with mild COVID-19.,77.57,77.57,77.57,0,0,0,7.2,7.2,7.2,9.86,9.86,10.5,10.9,10.9,11.4,12.06,11.23,12.06,4,4,4,10.5,10.5,10.5,4,4,4,9.71,9.71,9.71,10,11,11,
R_1jJ8QGY6pz420R7,0.666666667,A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 27% of the control group.,1013,2,2,2,2,2,2,2,2,2,2,2,2,A need for mechanical ventilation occurred in 31% of the aNo Statement herekinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was uNo Statement herettained in 63% of the aNo Statement herekinra-treated group compared with 27% of the control group,A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 75% of the control group. Successful weaning from Ivermectin was attained in 63% of the anakinra-treated group compared with 27% of the control group,52.19,49.15,52.7,0,0,0,10.7,11.9,10.5,12.94,14.21,12.53,13.6,15.9,12.9,11.23,11.55,10.96,12,12,11,12.5,14,11.75,12,12,11,11.81,13.35,10.64,13,12,11,
R_1jJ8QGY6pz420R7,0.666666667,"Over the 14-day study period, six patients survived, two were extubated, and one discharged. The results implicate white blood cells as a therapeutic target for COVID-19.",1016,4,4,4,4,4,4,4,4,4,4,4,4,"Over the 14-day study period, six patients survived, two were extubated, and one discharged. The results implicate embryotic saline as a therapeutic target for COVID-19.","Over the 14-day study period, six patients survived, two were extubated, and one discharged. The results implicate white blood cells as the cause for COVID-19.",58.28,41.87,67.25,0,0,0,8.4,10.5,7,12.63,13.85,11.53,11.4,12.1,10.3,12.18,13.1,11.2,9,10,7,7.5,7.75,6.75,9,10,7,11.35,13,9.8,8,13,7,
R_1jJ8QGY6pz420R7,0.666666667,Microscopic abnormalities have been observed in both finger and toenails of patients with COVID-19.  This suggests that chilblains might be a symptom of COVID-19.,1017,4,4,4,4,4,4,4,4,4,4,4,4,Microscopic abnormalities have been observed in both finger and toeNo Statement hereils of patients with COVID-19. This suggests that heart disease might be a symptom of COVID-19.,Microscopic abnormalities have been observed in both stool samples and urine of patients with COVID-19. This suggests that chilblains might be a symptom of COVID-19.,67.76,66.23,67.25,0,0,0,6.8,7.4,7,14.2,14.14,13.62,11.7,12,11.4,10.81,11.32,11.2,7,8,7,6,6.75,6.25,7,8,7,8.13,8.36,8.2,7,7,7,
R_1jTmBto8yBSympt,1,Intravenous recombinant ACE2 was reported as an effective therapy in severe COVID-19 by blocking the viral entry to target cells. ,1005,4,4,4,4,4,4,4,4,4,4,4,4,Intravenous recombiNo Statement herent ACE2 was reported as a non-effective therapy in severe COVID-19 because it was not able to block the viral entry to target cells.,"Intravenous recombinant ACE2 is not a real therapy, even though it was supposedly reported as an effective therapy in severe COVID-19 by blocking the viral entry to target cells.",34.26,35.61,25.12,0,0,0,13.5,15,17,14.04,12.89,12.72,14.5,16.8,17.4,15.68,14.33,13.24,10,11,11,15,18.5,21.5,10,11,11,18,18.21,19.88,15,15,13,
R_1jTmBto8yBSympt,1,"We reached consensus on the applicability of diagnostic tools to provide testing algorithms for the use of antibody tests of high-affinity antibodies for asymptomatic subjects exposed to SARS-CoV-2. Antibody tests for high affinity antibodies should be performed ideally 21 days after potential infectious contact, given that most exposed individuals will have begun to produce antibodies by then.",1010,2,2,2,4,4,4,4,4,4,2,4,4,"We have not reached consensus on the applicability of diagnostic tools to provide testing algorithms for the use of antibody tests of high-affinity antibodies for asymptomatic subjects exposed to SARS-CoV-2. Antibody tests for high affinity antibodies usually cannot be performed 21 days after potential infectious contact, given that most exposed individuals will have begun to produce antibodies by then.","We cannot reach consensus on the applicability of diagnostic tools to provide testing algorithms for the use of antibody tests of high-affinity antibodies for asymptomatic subjects exposed to SARS-CoV-2. Antibody tests for high affinity antibodies should be performed ideally 21 days prior to any potential infectious contact, given that most exposed individuals will not have have begun to produce antibodies by then.",17.17,16.15,14.63,0,0,0,17.9,18.3,18.9,17.12,16.95,16.14,21,21.1,21.2,12.53,12.33,12.05,19,19,20,22.25,22.75,23.5,19,19,20,19.82,19.94,20.14,18,13,19,
R_1jTmBto8yBSympt,1,"We evaluated 298 persons and identified twelve positive cases. 75% of the positive cases were asymptomatic, while only 25% of positive cases reported symptoms that included fever, diarrhea, and cough. Our data confirm the importance of early identification of asymptomatic carriers.",1014,4,4,4,4,4,4,4,4,4,4,4,4,"We evaluated 298 persons and identified twelve negative cases. 75% of the positive cases were asymptomatic, while only 25% of positive cases reported symptoms that included fever, diarrhea, and cough. Our data tells us it is not important to identify asymptomatic carriers early on.","We evaluated 298 persons and identified twelve positive cases. 75% of the positive cases were symptomatic, while only 25% of positive cases reported symptoms that hardly ever included fever, diarrhea, and cough. Our data does not confirm the importance of early identification of asymptomatic carriers.",32.19,39.63,30.87,15,15,15,12.2,11.4,12.7,15.25,12.58,14.38,13.2,11.5,13.1,11.25,10.83,11.05,15,14,16,11.16666667,11.66666667,11.83333333,15,14,16,15.24,14.97,15.78,12,12,12,
R_1jTmBto8yBSympt,1,Microscopic abnormalities have been observed in both finger and toenails of patients with COVID-19.  This suggests that chilblains might be a symptom of COVID-19.,1017,4,2,4,4,4,4,4,4,4,3.333333333,4,4,Microscopic abnormalities have been observed in only toeNo Statement hereils of patients with COVID-19. This suggests that chilblains is not a symptom of COVID-19.,Microscopic abnormalities will never be observed in finger and toenails of patients with COVID-19. This suggests that chilblains might be a symptom of COVID-19.,67.76,67.76,59.3,0,0,0,6.8,6.8,8,14.2,14.72,13.96,11.7,12,11.5,10.81,12.13,10.81,7,7,7,6,6,6,7,7,7,8.13,8.13,8.13,7,12,8,
R_1jTmBto8yBSympt,1,"We found that age, symptom onset between 3 and 14 days, fever or history of fever, cough, sore throat, ageusia (loss of taste), anosmia (loss of smell), chest pain, myalgia (muscle aches and pains) and/or arthralgia (join pain), household cluster, and evidence of confirmed cases in the neighbourhood could help discriminate infected patients from uninfected.",1018,4,4,4,4,4,4,4,4,4,4,4,4,"We found that age, symptom onset between 3 and 14 days, fever or history of fever, cough, sore throat, ageusia (loss of taste), anosmia (loss of smell), chest pain, myalgia (muscle aches and pains) and/or arthralgia (joint pain), household, cluster, and evidence of confirmed cases in the workplace could spread illness to patients who tested negative.","We found that age, symptom onset between 3 and 14 days, fever or history of fever, cough, sore throat, ageusia (loss of taste), anosmia (loss of smell), chest pain, myalgia (muscle aches and pains) and/or arthralgia (joint pain), household cluster, and evidence of no confirmed cases at the neighborhood pharmacy could help keep infected patients from telling others they tested positive..",24.11,31.56,18.02,0,0,0,23.6,22.8,25.9,13.65,12.2,12.9,32.2,31.5,34.5,12.68,12.9,13.13,17,17,18,33.5,31,36.5,17,17,18,25.64,23.83,27.02,13,13,13,
